vid,yid,start,end,raw-text,tokenized-text,gloss,split,start_time,end_time,total_start_sec,total_end_sec,filename
AFnaBCqKXjY-00:00:00.500-00:00:09.442,AFnaBCqKXjY,00:00:00.500,00:00:09.442,The White House responded to the NAD lawsuit by saying they do not have to provide an interpreter.,the white house responded to the nad lawsuit by saying they do not have to provide an interpreter,,train,1900-01-01 00:00:00.500,1900-01-01 00:00:09.442,0.5,9.442,video(0.5-9.442).mp4
AFnaBCqKXjY-00:00:09.442-00:00:26.960,AFnaBCqKXjY,00:00:09.442,00:00:26.960,The NAD filed a lawsuit in DC court two weeks ago after they made multiple requests for President Trump to provide an in-frame interpreter for its coronavirus briefings.,the nad filed a lawsuit in dc court two weeks ago after they made multiple requests for president trump to provide an in frame interpreter for its coronavirus briefings,,train,1900-01-01 00:00:09.442,1900-01-01 00:00:26.960,9.442,26.96,video(9.442-26.96).mp4
AFnaBCqKXjY-00:00:26.960-00:00:38.537,AFnaBCqKXjY,00:00:26.960,00:00:38.537,"The NAD said the White House is discriminating against deaf individuals based on their disability, which is a violation of Section 504.",the nad said the white house is discriminating against deaf individuals based on their disability which is a violation of section 504,,train,1900-01-01 00:00:26.960,1900-01-01 00:00:38.537,26.96,38.537,video(26.96-38.537).mp4
AFnaBCqKXjY-00:00:38.537-00:00:47.948,AFnaBCqKXjY,00:00:38.537,00:00:47.948,DeafVee Journal - in a report on Sunday - provided a PDF file where you can read the document.,deafvee journal in a report on sunday provided a pdf file where you can read the document,,train,1900-01-01 00:00:38.537,1900-01-01 00:00:47.948,38.537,47.948,video(38.537-47.948).mp4
AFnaBCqKXjY-00:00:47.948-00:00:56.088,AFnaBCqKXjY,00:00:47.948,00:00:56.088,The judge overseeing the case is James E. Boasberg.,the judge overseeing the case is james e. boasberg,,train,1900-01-01 00:00:47.948,1900-01-01 00:00:56.088,47.948,56.088,video(47.948-56.088).mp4
AFnaBCqKXjY-00:00:56.088-00:01:08.868,AFnaBCqKXjY,00:00:56.088,00:01:08.868,He is the DAPL pipeline judge - the one who ordered an environmental review in June that stopped the pipeline from crossing the Missouri River.,he is the dapl pipeline judge the one who ordered an environmental review in june that stopped the pipeline from crossing the missouri river,,train,1900-01-01 00:00:56.088,1900-01-01 00:01:08.868,56.088,68.868,video(56.088-68.868).mp4
AFnaBCqKXjY-00:01:08.868-00:01:19.579,AFnaBCqKXjY,00:01:08.868,00:01:19.579,"Boasberg also ordered in August 2016 the public release of 14,000 of Hillary Clinton's emails.","boasberg also ordered in august 2016 the public release of 14,000 of hillary clinton's emails",,train,1900-01-01 00:01:08.868,1900-01-01 00:01:19.579,68.868,79.579,video(68.868-79.579).mp4
AFnaBCqKXjY-00:01:37.164-00:01:52.813,AFnaBCqKXjY,00:01:37.164,00:01:52.813,"The White House, in their response, said TV channels are already required to provide closed captioning and that the White House's social media channels do have captions and provides a transcript.",the white house in their response said tv channels are already required to provide closed captioning and that the white house's social media channels do have captions and provides a transcript,,train,1900-01-01 00:01:37.164,1900-01-01 00:01:52.813,97.164,112.813,video(97.164-112.813).mp4
AFnaBCqKXjY-00:01:52.813-00:02:07.828,AFnaBCqKXjY,00:01:52.813,00:02:07.828,The White House also said they have very limited space in their press briefing rooms and they do not decide how the news cameras broadcast it.,the white house also said they have very limited space in their press briefing rooms and they do not decide how the news cameras broadcast it,,train,1900-01-01 00:01:52.813,1900-01-01 00:02:07.828,112.813,127.828,video(112.813-127.828).mp4
AFnaBCqKXjY-00:02:07.828-00:02:22.641,AFnaBCqKXjY,00:02:07.828,00:02:22.641,The White House said news channels have the ability to provide in-frame interpreters but absolved itself of any responsibility to provide interpreters for their own videos on social media channels.,the white house said news channels have the ability to provide in frame interpreters but absolved itself of any responsibility to provide interpreters for their own videos on social media channels,,train,1900-01-01 00:02:07.828,1900-01-01 00:02:22.641,127.828,142.641,video(127.828-142.641).mp4
AFnaBCqKXjY-00:02:22.641-00:02:33.819,AFnaBCqKXjY,00:02:22.641,00:02:33.819,"The White House also said private individuals couldn't sue them because they are the office of the president, not a federal agency.",the white house also said private individuals could n't sue them because they are the office of the president not a federal agency,,train,1900-01-01 00:02:22.641,1900-01-01 00:02:33.819,142.641,153.819,video(142.641-153.819).mp4
AFnaBCqKXjY-00:02:33.819-00:02:49.669,AFnaBCqKXjY,00:02:33.819,00:02:49.669,"The White House emphasizes that there have never been an ASL interpreter, neither in the Bush, Clinton, nor the Obama administrations.",the white house emphasizes that there have never been an asl interpreter neither in the bush clinton nor the obama administrations,,train,1900-01-01 00:02:33.819,1900-01-01 00:02:49.669,153.819,169.669,video(153.819-169.669).mp4
AFnaBCqKXjY-00:02:49.669-00:03:06.086,AFnaBCqKXjY,00:02:49.669,00:03:06.086,The lead author of the White House's response is Acting Assistant Attorney General Ethan Davis.,the lead author of the white house's response is acting assistant attorney general ethan davis,,train,1900-01-01 00:02:49.669,1900-01-01 00:03:06.086,169.669,186.086,video(169.669-186.086).mp4
AFnaBCqKXjY-00:03:06.086-00:03:08.087,AFnaBCqKXjY,00:03:06.086,00:03:08.087,That's the recap for now.,that 's the recap for now,,train,1900-01-01 00:03:06.086,1900-01-01 00:03:08.087,186.086,188.087,video(186.086-188.087).mp4
AFnaBCqKXjY-00:03:08.087-00:03:13.126,AFnaBCqKXjY,00:03:08.087,00:03:13.126,there will be more actions from both sides before the judge makes a decision.,there will be more actions from both sides before the judge makes a decision,,train,1900-01-01 00:03:08.087,1900-01-01 00:03:13.126,188.087,193.126,video(188.087-193.126).mp4
AFnaBCqKXjY-00:03:13.126-00:03:14.527,AFnaBCqKXjY,00:03:13.126,00:03:14.527,Captioned by aslcaptions.com,captioned by aslcaptions.com,,train,1900-01-01 00:03:13.126,1900-01-01 00:03:14.527,193.126,194.527,video(193.126-194.527).mp4
AKnhk5o_gB8-00:00:04.560-00:00:12.441,AKnhk5o_gB8,00:00:04.560,00:00:12.441,Title III of the ADA applies to places of public accommodations or privately run business open to the public.,title iii of the ada applies to places of public accommodations or privately run business open to the public,,train,1900-01-01 00:00:04.560,1900-01-01 00:00:12.441,4.5600000000000005,12.441,video(4.5600000000000005-12.441).mp4
AKnhk5o_gB8-00:00:12.441-00:00:21.881,AKnhk5o_gB8,00:00:12.441,00:00:21.881,"Examples of public accommodations include hospitals, doctor offices, laundromats, theaters, movie theaters private schools and universities, and many more.",examples of public accommodations include hospitals doctor offices laundromats theaters movie theaters private schools and universities and many more,,train,1900-01-01 00:00:12.441,1900-01-01 00:00:21.881,12.441,21.881,video(12.441-21.881).mp4
AKnhk5o_gB8-00:00:21.881-00:00:25.900,AKnhk5o_gB8,00:00:21.881,00:00:25.900,Title III covers both for profits and non-profit organizations.,title iii covers both for profits and non profit organizations,,train,1900-01-01 00:00:21.881,1900-01-01 00:00:25.900,21.881,25.9,video(21.881-25.9).mp4
AKnhk5o_gB8-00:00:25.900-00:00:30.841,AKnhk5o_gB8,00:00:25.900,00:00:30.841,"Unlike Title I for employment, which covers only entities with 15 or more employees Title III does not have a minimum number of employees requirement.",unlike title i for employment which covers only entities with 15 or more employees title iii does not have a minimum number of employees requirement,,train,1900-01-01 00:00:25.900,1900-01-01 00:00:30.841,25.9,30.841,video(25.9-30.841).mp4
AKnhk5o_gB8-00:00:30.841-00:00:32.473,AKnhk5o_gB8,00:00:30.841,00:00:32.473,"The law applies to all public accommodations, including those with only one employee.",the law applies to all public accommodations including those with only one employee,,train,1900-01-01 00:00:30.841,1900-01-01 00:00:32.473,30.841,32.473,video(30.841-32.473).mp4
AKnhk5o_gB8-00:00:33.420-00:00:41.560,AKnhk5o_gB8,00:00:33.420,00:00:41.560,Title III benefits deaf and hard of hearing individuals by requiring public accommodations to ensure effective communication.,title iii benefits deaf and hard of hearing individuals by requiring public accommodations to ensure effective communication,,train,1900-01-01 00:00:33.420,1900-01-01 00:00:41.560,33.42,41.56,video(33.42-41.56).mp4
AKnhk5o_gB8-00:00:41.560-00:00:56.679,AKnhk5o_gB8,00:00:41.560,00:00:56.679,"The businesses must provide auxiliary aids and services if necessary to ensure effective communication such as qualified interpreters, CART, accepting relay calls, flashing alarm systems and so forth.",the businesses must provide auxiliary aids and services if necessary to ensure effective communication such as qualified interpreters cart accepting relay calls flashing alarm systems and so forth,,train,1900-01-01 00:00:41.560,1900-01-01 00:00:56.679,41.56,56.679,video(41.56-56.679).mp4
AKnhk5o_gB8-00:00:56.679-00:01:03.740,AKnhk5o_gB8,00:00:56.679,00:01:03.740,"Essentially, they are required to ensure that deaf and hard of hearing people have access to information being presented audibly.",essentially they are required to ensure that deaf and hard of hearing people have access to information being presented audibly,,train,1900-01-01 00:00:56.679,1900-01-01 00:01:03.740,56.679,63.74,video(56.679-63.74).mp4
AKnhk5o_gB8-00:01:03.740-00:01:09.719,AKnhk5o_gB8,00:01:03.740,00:01:09.719,Public accommodations cannot require deaf and hard of hearing people to pay to cover for these services/equipment.,public accommodations can not require deaf and hard of hearing people to pay to cover for these services equipment,,train,1900-01-01 00:01:03.740,1900-01-01 00:01:09.719,63.74,69.719,video(63.74-69.719).mp4
AKnhk5o_gB8-00:01:11.019-00:01:17.140,AKnhk5o_gB8,00:01:11.019,00:01:17.140,Federal agency responsible for ensuring compliance with Title III is the U.S. Department of Justice.,federal agency responsible for ensuring compliance with title iii is the u.s. department of justice,,train,1900-01-01 00:01:11.019,1900-01-01 00:01:17.140,71.019,77.14,video(71.019-77.14).mp4
AKnhk5o_gB8-00:01:17.140-00:01:19.900,AKnhk5o_gB8,00:01:17.140,00:01:19.900,They have several duties when it comes to monitoring compliance with Title III.,they have several duties when it comes to monitoring compliance with title iii,,train,1900-01-01 00:01:17.140,1900-01-01 00:01:19.900,77.14,79.9,video(77.14-79.9).mp4
AKnhk5o_gB8-00:01:19.900-00:01:28.719,AKnhk5o_gB8,00:01:19.900,00:01:28.719,"First, they create and implement Title III regulations that expands on the ADA.",first they create and implement title iii regulations that expands on the ada,,train,1900-01-01 00:01:19.900,1900-01-01 00:01:28.719,79.9,88.719,video(79.9-88.719).mp4
AKnhk5o_gB8-00:01:28.719-00:01:37.140,AKnhk5o_gB8,00:01:28.719,00:01:37.140,The DOJ has a complaint procedure where they accept complaints from people all over the country and investigate complaints.,the doj has a complaint procedure where they accept complaints from people all over the country and investigate complaints,,train,1900-01-01 00:01:28.719,1900-01-01 00:01:37.140,88.719,97.14,video(88.719-97.14).mp4
AKnhk5o_gB8-00:01:37.140-00:01:41.180,AKnhk5o_gB8,00:01:37.140,00:01:41.180,The DOJ also intervene in lawsuits or bring lawsuits in federal court.,the doj also intervene in lawsuits or bring lawsuits in federal court,,train,1900-01-01 00:01:37.140,1900-01-01 00:01:41.180,97.14,101.18,video(97.14-101.18).mp4
AKnhk5o_gB8-00:01:41.180-00:01:46.519,AKnhk5o_gB8,00:01:41.180,00:01:46.519,"Under Title III, a private citizen can sue directly in federal court for policy change or file with DOJ.",under title iii a private citizen can sue directly in federal court for policy change or file with doj,,train,1900-01-01 00:01:41.180,1900-01-01 00:01:46.519,101.18,106.519,video(101.18-106.519).mp4
AKtthktaYps-00:00:25.100-00:00:26.399,AKtthktaYps,00:00:25.100,00:00:26.399,Hello everyone.,hello everyone,,train,1900-01-01 00:00:25.100,1900-01-01 00:00:26.399,25.1,26.399,video(25.1-26.399).mp4
AKtthktaYps-00:00:26.399-00:00:29.039,AKtthktaYps,00:00:26.399,00:00:29.039,Welcome to Sign1News.,welcome to sign1news,,train,1900-01-01 00:00:26.399,1900-01-01 00:00:29.039,26.399,29.039,video(26.399-29.039).mp4
AKtthktaYps-00:00:29.039-00:00:30.920,AKtthktaYps,00:00:29.039,00:00:30.920,I'm Crystal Cousineau.,i 'm crystal cousineau,,train,1900-01-01 00:00:29.039,1900-01-01 00:00:30.920,29.039,30.92,video(29.039-30.92).mp4
AKtthktaYps-00:00:30.920-00:00:33.560,AKtthktaYps,00:00:30.920,00:00:33.560,Here are your top stories for today.,here are your top stories for today,,train,1900-01-01 00:00:30.920,1900-01-01 00:00:33.560,30.92,33.56,video(30.92-33.56).mp4
AKtthktaYps-00:00:38.820-00:00:54.280,AKtthktaYps,00:00:38.820,00:00:54.280,"Right after Thanksgiving dinner yesterday, millions of people headed straight to the stores hoping to get an early start on Black Friday deals.",right after thanksgiving dinner yesterday millions of people headed straight to the stores hoping to get an early start on black friday deals,,train,1900-01-01 00:00:38.820,1900-01-01 00:00:54.280,38.82,54.28,video(38.82-54.28).mp4
AKtthktaYps-00:00:54.280-00:01:03.219,AKtthktaYps,00:00:54.280,00:01:03.219,The National Retail Federation estimates 116 million shoppers will take advantage of early discounts.,the national retail federation estimates 116 million shoppers will take advantage of early discounts,,train,1900-01-01 00:00:54.280,1900-01-01 00:01:03.219,54.28,63.219,video(54.28-63.219).mp4
AKtthktaYps-00:01:03.219-00:01:08.400,AKtthktaYps,00:01:03.219,00:01:08.400,That could equate to $720 billion in sales.,that could equate to $720 billion in sales,,train,1900-01-01 00:01:03.219,1900-01-01 00:01:08.400,63.219,68.4,video(63.219-68.4).mp4
